Longitude;Latitude;Accuracy;Provider;1354802702175;Session
13.1311954;52.3920687;25.0;network;1354540787092;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1311286;52.3922072;30.0;network;1354540832134;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1311286;52.3922072;30.0;network;1354540877122;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1309696;52.3922147;30.0;network;1354540920859;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1311682;52.3925404;41.0;network;1354540965832;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1311473;52.3925252;35.0;network;1354541010860;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1311077;52.3925928;35.0;network;1354541055841;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1319868;52.3958583;838.0;network;1354541100888;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1319868;52.3958583;838.0;network;1354541145819;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1319868;52.3958583;838.0;network;1354541145867;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1319868;52.3958583;838.0;network;1354541190830;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1319868;52.3958583;838.0;network;1354541190867;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1319868;52.3958583;838.0;network;1354541235843;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1319868;52.3958583;838.0;network;1354541236012;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1296531;52.393462;90.0;network;1354541282372;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1298551;52.3934997;81.0;network;1354541327342;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1298551;52.3934997;81.0;network;1354541372343;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129707;52.3935261;30.0;network;1354541405774;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1297548;52.3935337;30.0;network;1354541450792;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1297548;52.3935337;30.0;network;1354541495801;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1298693;52.3935094;40.0;network;1354541541028;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1297431;52.3934712;41.0;network;1354541585082;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1299608;52.3936039;58.0;network;1354541629633;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1300609;52.3935336;43.0;network;1354541675778;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303917;52.3932907;40.0;network;1354541720761;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303917;52.3932907;40.0;network;1354541765775;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303812;52.3932749;45.0;network;1354541810781;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303812;52.3932749;45.0;network;1354541855783;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304183;52.3932826;26.0;network;1354541900785;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304183;52.3932826;26.0;network;1354541945809;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304269;52.3932937;26.0;network;1354541990825;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304269;52.3932937;26.0;network;1354542035833;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303634;52.393333;65.0;network;1354542080868;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303634;52.393333;65.0;network;1354542125855;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304016;52.3933156;67.0;network;1354542170899;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304016;52.3933156;67.0;network;1354542215941;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303134;52.3934252;59.0;network;1354542260888;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303134;52.3934252;59.0;network;1354542305920;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302409;52.393401;56.0;network;1354542350926;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302409;52.393401;56.0;network;1354542395896;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.13037;52.393291;39.0;network;1354542440897;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.13037;52.393291;39.0;network;1354542485928;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130424;52.393291;21.0;network;1354542530928;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130424;52.393291;21.0;network;1354542575981;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304634;52.3933531;24.0;network;1354542619628;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304634;52.3933531;24.0;network;1354542665982;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304413;52.3932737;24.0;network;1354542710990;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304413;52.3932737;24.0;network;1354542755992;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304297;52.3933248;69.0;network;1354542801014;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304297;52.3933248;69.0;network;1354542846028;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303468;52.3933022;65.0;network;1354542891011;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
